# lambda               TRANSMISSION   
  1234.567843092561    8.046653E-6    
  1226.9939224614768   8.7421795E-6   
  1219.5122234882313   7.772487E-6    
  1212.121212121212    6.0945777E-6   
  1204.8192494215618   4.556369E-6    
  1197.6047357065925   4.399212E-6    
  1190.4762445393628   5.2735836E-6   
  1183.4319793753536   5.521775E-6    
  1176.470588235294    4.925096E-6    
  1169.5906171834263   3.8587145E-6   
  1162.790646096578    3.3741908E-6   
  1156.0694151451426   3.7727025E-6   
  1149.4253125558023   4.6081127E-6   
  1142.8571428571427   5.2936657E-6   
  1136.3636117336184   4.62643E-6     
  1129.943454119862    3.009283E-6    
  1123.5955537772684   2.563109E-6    
  1117.31845956554     3.2019698E-6   
  1111.111111111111    3.493149E-6    
  1104.972352402569    3.2735306E-6   
  1098.9010528354413   2.9427183E-6   
  1092.896220426975    2.4232572E-6   
  1086.9565442739683   1.8341334E-6   
  1081.081081081081    1.9935305E-6   
  1075.2687951514788   2.5266115E-6   
  1069.5186729423533   1.9498248E-6   
  1063.8298304062632   1.4307423E-6   
  1058.201079559348    1.5386593E-6   
  1052.6315789473683   1.6485461E-6   
  1047.1203979348309   1.8289727E-6   
  1041.6666252745538   2.0715518E-6   
  1036.2694710161068   1.6273717E-6   
  1030.9278553230808   1.3415913E-6   
  1025.6410256410256   1.3828775E-6   
  1020.4081434053666   1.3169667E-6   
  1015.2283870782848   1.0979205E-6   
  1010.1010490225224   7.381012E-7    
  1005.0251448938023   3.641575E-7    
  1000.0               1.7510013E-7   
  995.0248567377184    1.4376265E-7   
  990.098972505665     1.4999499E-7   
  985.221711904656     1.0947505E-7   
  980.3921751955851    7.510729E-8    
  975.609756097561     4.4585477E-8   
  970.8737684291771    2.4892278E-8   
  966.1835392686212    1.9404592E-8   
  961.5384968074834    1.5316125E-8   
  956.9378165092252    1.1127779E-8   
  952.3809523809524    8.330145E-9    
  947.8672814415795    8.588521E-9    
  943.3961924644258    7.7754745E-9   
  938.9671697828685    5.9936016E-9   
  934.5794559118583    7.743425E-9    
  930.2325581395348    7.620721E-9    
  925.9259095734859    5.8738725E-9   
  921.6589537709688    9.238365E-9    
