# WAVENUMBER   TRANSMISSION   UNCERTAINTY     FLAG    lambda              
  11.143342    0.80052936     0.0022460413    true    897.3968477080298   
  11.145014    0.8016001      0.0022460413    true    897.2622350401673   
  11.145991    0.80223185     0.0022514611    false   897.1835441169688   
  11.146686    0.8026417      0.0022401654    true    897.1276627509905   
  11.148357    0.8036481      0.0022401654    true    896.9931308223338   
  11.150029    0.80460906     0.0022401654    true    896.8586392360429   
  11.151701    0.8055099      0.0022401654    true    896.7241879739744   
  11.153372    0.8063319      0.0022401654    true    896.5898536813269   
  11.155044    0.8070525      0.0022401654    true    896.4554829903382   
  11.156715    0.8076468      0.0022401654    true    896.3211525692166   
  11.158387    0.80808854     0.0022401654    true    896.1868623998615   
  11.160059    0.80835205     0.0022401654    true    896.052612464184    
  11.161731    0.8084144      0.0022401654    true    895.9184027441055   
  11.162853    0.80833083     0.0022692834    false   895.8283141536596   
  11.163403    0.8082576      0.0025683523    true    895.7842332215585   
  11.165074    0.8078711      0.0025683523    true    895.650103878486    
  11.166745    0.80725384     0.0025683523    true    895.5160911766586   
  11.168417    0.80641645     0.0025683523    true    895.3820421155135   
  11.170089    0.8053827      0.0025683523    true    895.2480331797477   
  11.171761    0.8041902      0.0025683523    true    895.1140643513477   
  11.173432    0.80289084     0.0025683523    true    894.9801356123102   
  11.175104    0.8015498      0.0025683523    true    894.8462469446437   
  11.176776    0.8002443      0.0025683523    true    894.7123983303666   
  11.178448    0.7990607      0.0025683523    true    894.5785897515086   
  11.179716    0.79829794     0.0025808609    false   894.4770959657869   
  11.180119    0.79809165     0.0027593947    true    894.4448974870692   
  11.18179     0.797432       0.0027593947    true    894.3111689023677   
  11.183462    0.7971744      0.0027593947    true    894.1774802992484   
  11.185134    0.79740465     0.0027593947    true    894.0438316597837   
  11.186806    0.79819703     0.0027593947    true    893.9102229660562   
  11.1884775   0.79961014     0.0027593947    true    893.7766542001602   
  11.190149    0.8016827      0.0027593947    true    893.6431253442003   
  11.19182     0.80443066     0.0027593947    true    893.50971251779     
  11.193492    0.807845       0.0027593947    true    893.3762634053172   
  11.195164    0.8118907      0.0027593947    true    893.242854149168    
  11.196578    0.8157621      0.0027915572    false   893.1300239181368   
  11.1968355   0.816507       0.003223227     true    893.1094847314899   
  11.198507    0.8216084      0.003223227     true    892.9761551344409   
  11.200179    0.8270878      0.003223227     true    892.8428653401893   
  11.201851    0.8328194      0.003223227     true    892.7096153309146   
  11.203523    0.8386637      0.003223227     true    892.5764050888064   
  11.205194    0.8444722      0.003223227     true    892.4432345960654   
  11.206865    0.85009325     0.003223227     true    892.3101797681098   
  11.208537    0.8553774      0.003223227     true    892.177088698097    
  11.210209    0.86018306     0.003223227     true    892.0440373241265   
  11.211881    0.8643817      0.003223227     true    891.9110256284412   
  11.213441    0.8676535      0.0032609263    false   891.7869272746678   
  11.213552    0.8678621      0.003398802     true    891.7780535932947   
  11.215224    0.87053424     0.003398802     true    891.6451212009509   
  11.216896    0.87233204     0.003398802     true    891.5122284336844   
  11.218567    0.87321496     0.003398802     true    891.3794510486657   
  11.220239    0.8731689      0.003398802     true    891.2466374558414   
  11.22191     0.8722057      0.003398802     true    891.113863434992    
  11.223582    0.870362       0.003398802     true    890.9811289684343   
  11.225254    0.8676972      0.003398802     true    890.8484340384954   
  11.226926    0.8642906      0.003398802     true    890.7157786275137   
  11.228598    0.86023825     0.003398802     true    890.5831627178374   
  11.230269    0.8556496      0.0034059961    true    890.4505862918254   
  11.230303    0.85555196     0.0034059961    false   890.4479397029135   
  11.23194     0.85064334     0.0031450253    true    890.318124926396    
  11.233612    0.84534407     0.0031450253    true    890.1856273923331   
  11.235284    0.8398788      0.0031450253    true    890.0531692890845   
  11.236956    0.8343732      0.0031450253    true    889.9207505990511   
  11.238627    0.82894903     0.0031450253    true    889.7883713046441   
  11.240299    0.82372147     0.0031450253    true    889.6560313882854   
  11.241971    0.8187968      0.0031450253    true    889.5237308324075   
  11.243642    0.81427073     0.0031450253    true    889.3915450567367   
  11.245314    0.8102271      0.0031450253    true    889.2593231467305   
  11.246985    0.8067366      0.003115441     true    889.1271405445744   
  11.247165    0.80640066     0.003115441     false   889.112966991074    
  11.248657    0.8038563      0.0028716382    true    888.9949972327428   
  11.250329    0.8016291      0.0028716382    true    888.8628931937195   
  11.252001    0.80008376     0.0028716382    true    888.73082841        
  11.253673    0.79923445     0.0028716382    true    888.5988028640891   
  11.255344    0.7990814      0.0028716382    true    888.4668165385029   
  11.257015    0.7996108      0.0028716382    true    888.3349446739179   
  11.258687    0.8007958      0.0028716382    true    888.2030367142207   
  11.260359    0.8025967      0.0028716382    true    888.0711679224672   
  11.262031    0.8049619      0.0028716382    true    887.9393382812146   
  11.263702    0.80782914     0.0028121884    true    887.8075477730303   
  11.264028    0.8084324      0.0028121884    false   887.7819159442795   
  11.265374    0.8111261      0.0027378928    true    887.6757963804923   
  11.267046    0.81477237     0.0027378928    true    887.5440840861886   
  11.268718    0.81868064     0.0027378928    true    887.4124108727179   
  11.270389    0.82275856     0.0027378928    true    887.2808518023442   
  11.27206     0.8269106      0.0027378928    true    887.1492566761074   
  11.273732    0.83104026     0.0027378928    true    887.0177005785711   
  11.275404    0.8350521      0.0027378928    true    886.8861834923748   
  11.277076    0.83885384     0.0027378928    true    886.7547054001689   
  11.278748    0.8423589      0.0027378928    true    886.6232662846134   
  11.280419    0.84548825     0.0027378928    true    886.4918661283792   
  11.2808895   0.84628314     0.002738763     false   886.4549191934648   
  11.282091    0.84817237     0.002838716     true    886.3605049141472   
  11.283762    0.8503532      0.002838716     true    886.2292575264019   
  11.285434    0.8519854      0.002838716     true    886.0979741220681   
  11.287106    0.8530376      0.002838716     true    885.9667296078507   
  11.288777    0.8534931      0.002838716     true    885.8355239664713   
  11.290449    0.85335004     0.002838716     true    885.7043571806624   
  11.292121    0.8526216      0.002838716     true    885.5732292331661   
  11.293793    0.8513348      0.002838716     true    885.4421401067351   
  11.2954645   0.84953004     0.002838716     true    885.3110897841324   
  11.297135    0.8472591      0.002838716     true    885.1801529726939   
  11.297752    0.84632665     0.002852827     false   885.1318088166076   
  11.298807    0.84458363     0.0028482936    true    885.0491801839655   
  11.300479    0.84157276     0.0028482936    true    884.9182461474244   
  11.302151    0.8383011      0.0028482936    true    884.7873508458747   
  11.3038225   0.83484584     0.0028482936    true    884.6564942621297   
  11.305494    0.8312844      0.0028482936    true    884.5256763790135   
  11.307166    0.82769215     0.0028482936    true    884.3948971793601   
  11.308837    0.8241399      0.0028482936    true    884.2642312160176   
  11.310509    0.82069206     0.0028482936    true    884.1335293097901   
  11.3121805   0.81740505     0.0028482936    true    884.0028660355982   
  11.313852    0.81432587     0.0028482936    true    883.8722413763165   
  11.314614    0.8129971      0.002852226     false   883.8127167596928   
  11.315524    0.8114915      0.0027612797    true    883.7416553148299   
  11.317196    0.8089285      0.0027612797    true    883.6111078340331   
  11.318868    0.80665314     0.0027612797    true    883.4805989168311   
  11.320539    0.80467206     0.0027612797    true    883.3501285461389   
  11.32221     0.8029833      0.0027612797    true    883.2197710988312   
  11.323882    0.80157727     0.0027612797    true    883.0893777479797   
  11.325554    0.8004385      0.0027612797    true    882.9590228924534   
  11.327226    0.7995474      0.0027612797    true    882.8287065152077   
  11.328897    0.7988813      0.0027612797    true    882.6984285992081   
  11.330569    0.7984168      0.0027612797    true    882.5681891274302   
  11.331477    0.79824364     0.002771129     false   882.4974762064869   
  11.332241    0.7981305      0.0028271803    true    882.4379880828593   
  11.333913    0.7980005      0.0028271803    true    882.3078254484907   
  11.335584    0.79800725     0.0028271803    true    882.177775425848    
  11.3372555   0.79813397     0.0028271803    true    882.0476895390249   
  11.338927    0.7983671      0.0028271803    true    881.9176420114608   
  11.340599    0.7986961      0.0028271803    true    881.7876328261916   
  11.342271    0.79911315     0.0028271803    true    881.6576619662626   
  11.343943    0.79961306     0.0028271803    true    881.52772941473     
  11.345614    0.80019224     0.0028271803    true    881.3978351546588   
  11.347286    0.8008484      0.0028271803    true    881.2679791691249   
  11.348339    0.8013008      0.0027734372    false   881.1862184228776   
  11.348957    0.8015802      0.0021936619    true    881.1382354849194   
  11.350629    0.8023864      0.0021936619    true    881.0084559759174   
  11.352301    0.8032663      0.0021936619    true    880.8787146907488   
  11.353972    0.80421925     0.0021936619    true    880.7490116125291   
  11.355644    0.8052451      0.0021936619    true    880.619346724384    
